latitud,longitud,comuna
"-34,6201625","-58,4408517",6
"-34,5906318","-58,4439454",15
"-34,63352","-58,5133912",10
"-34,5907667","-58,4438072",15
"-34,6200368","-58,4405683",6
"-34,5897399","-58,4451491",15
"-34,6338994","-58,5225022",10
"-34,5913273","-58,4470535",15
"-34,63314","-58,5199797",9
"-34,618652","-58,437449",6
"-34,5914768","-58,4472185",15
"-34,6184872","-58,4370778",6
"-34,6277406","-58,5272713",10
"-34,593098","-58,4462301",15
"-34,6179536","-58,4358689",6
"-34,616012","-58,433951",6
"-34,624431","-58,524328",10
"-34,6168634","-58,4334266",6
"-34,6238471","-58,5234509",10
"-34,5939276","-58,445335",15
"-34,6168486","-58,4333933",6
"-34,6168119","-58,4333208",6
"-34,5945985","-58,4446151",15
"-34,6230139","-58,5218128",10
"-34,6167119","-58,4330953",6
"-34,6215242","-58,5196779",10
"-34,59451","-58,4441464",15
"-34,6197978","-58,5178766",10
"-34,6241545","-58,5214422",10
"-34,59264","-58,441034",15
"-34,6236265","-58,5225545",10
"-34,59206","-58,4406074",15
"-34,6213148","-58,5255632",10
"-34,6179797","-58,5298756",10
"-34,5931719","-58,4415043",15
"-34,5938648","-58,4407618",15
"-34,6205428","-58,4417412",6
"-34,6203598","-58,5288341",10
"-34,6218876","-58,5268484",10
